t,alpha,v,r_cmd,i_cmd
2.900000000e+00,5.353112901e-04,-4.088927654e-01,4.986113178e-01,-1.005608385e-04
2.920000000e+00,5.339643343e-04,-4.078968999e-01,4.986146749e-01,-8.795819593e-05
2.940000000e+00,5.326260870e-04,-4.069034630e-01,4.986180261e-01,-7.701378300e-05
2.960000000e+00,5.312958469e-04,-4.059124489e-01,4.986213719e-01,-6.744659107e-05
2.980000000e+00,5.299729997e-04,-4.049238511e-01,4.986247124e-01,-5.905042239e-05
3.000000000e+00,5.286570067e-04,-4.039376631e-01,4.986280473e-01,-5.166849342e-05
3.020000000e+00,5.273473955e-04,-4.029538784e-01,4.986313764e-01,-4.517600968e-05
3.040000000e+00,5.260437515e-04,-4.019724906e-01,4.986346992e-01,-3.946898486e-05
3.060000000e+00,5.247457112e-04,-4.009934935e-01,4.986380154e-01,-3.445751039e-05
3.080000000e+00,5.234529554e-04,-4.000168809e-01,4.986413249e-01,-3.006194589e-05
3.100000000e+00,5.221652042e-04,-3.990426470e-01,4.986446274e-01,-2.621087488e-05
3.120000000e+00,5.208822118e-04,-3.980707859e-01,4.986479227e-01,-2.284002876e-05
3.140000000e+00,5.196037624e-04,-3.971012918e-01,4.986512107e-01,-1.989167691e-05
3.160000000e+00,5.183296665e-04,-3.961341588e-01,4.986544913e-01,-1.731419541e-05
3.180000000e+00,5.170597572e-04,-3.951693813e-01,4.986577645e-01,-1.506167083e-05
3.200000000e+00,5.157938880e-04,-3.942069534e-01,4.986610301e-01,-1.309348281e-05
3.220000000e+00,5.145319299e-04,-3.932468696e-01,4.986642883e-01,-1.137385628e-05
3.240000000e+00,5.132737691e-04,-3.922891240e-01,4.986675388e-01,-9.871395688e-06
3.260000000e+00,5.120193053e-04,-3.913337110e-01,4.986707818e-01,-8.558620053e-06
3.280000000e+00,5.107684497e-04,-3.903806249e-01,4.986740171e-01,-7.411515524e-06
3.300000000e+00,5.095211241e-04,-3.894298600e-01,4.986772448e-01,-6.409118252e-06
3.320000000e+00,5.082772590e-04,-3.884814108e-01,4.986804649e-01,-5.533134528e-06
3.340000000e+00,5.070367928e-04,-3.875352715e-01,4.986836773e-01,-4.767601249e-06
3.360000000e+00,5.057996706e-04,-3.865914365e-01,4.986868820e-01,-4.098586244e-06
3.380000000e+00,5.045658438e-04,-3.856499002e-01,4.986900791e-01,-3.513926086e-06
3.400000000e+00,5.033352687e-04,-3.847106570e-01,4.986932685e-01,-3.002997910e-06
3.420000000e+00,5.021079064e-04,-3.837737013e-01,4.986964502e-01,-2.556521348e-06
3.440000000e+00,5.008837220e-04,-3.828390276e-01,4.986996243e-01,-2.166386688e-06
3.460000000e+00,4.996626838e-04,-3.819066302e-01,4.987027908e-01,-1.825505807e-06
3.480000000e+00,4.984447636e-04,-3.809765037e-01,4.987059496e-01,-1.527682629e-06
3.500000000e+00,4.972299356e-04,-3.800486425e-01,4.987091008e-01,-1.267500398e-06
3.520000000e+00,4.960181764e-04,-3.791230411e-01,4.987122444e-01,-1.040223478e-06
3.540000000e+00,4.948094647e-04,-3.781996940e-01,4.987153803e-01,-8.417116693e-07
3.560000000e+00,4.936037809e-04,-3.772785957e-01,4.987185087e-01,-6.683453546e-07
3.580000000e+00,4.924011072e-04,-3.763597407e-01,4.987216295e-01,-5.169601369e-07
3.600000000e+00,4.912014268e-04,-3.754431236e-01,4.987247427e-01,-3.847896313e-07
3.620000000e+00,4.900047244e-04,-3.745287388e-01,4.987278484e-01,-2.694154611e-07
3.640000000e+00,4.888109857e-04,-3.736165811e-01,4.987309465e-01,-1.687235174e-07
3.660000000e+00,4.876201973e-04,-3.727066449e-01,4.987340371e-01,-8.086572523e-08
3.680000000e+00,4.864323466e-04,-3.717989248e-01,4.987371202e-01,-4.226543560e-09
3.700000000e+00,4.852474217e-04,-3.708934154e-01,4.987401958e-01,6.260621799e-08
3.720000000e+00,4.840654113e-04,-3.699901114e-01,4.987432640e-01,1.208670586e-07
3.740000000e+00,4.828863048e-04,-3.690890074e-01,4.987463246e-01,1.716351061e-07
3.760000000e+00,4.817100920e-04,-3.681900980e-01,4.987493778e-01,2.158536727e-07
3.780000000e+00,4.805367629e-04,-3.672933779e-01,4.987524236e-01,2.543473743e-07
3.800000000e+00,4.793663082e-04,-3.663988418e-01,4.987554620e-01,2.878370275e-07
3.820000000e+00,4.781987188e-04,-3.655064842e-01,4.987584930e-01,3.169527441e-07
3.840000000e+00,4.770339858e-04,-3.646163000e-01,4.987615167e-01,3.422453365e-07
3.860000000e+00,4.758721007e-04,-3.637282838e-01,4.987645329e-01,3.641963020e-07
3.880000000e+00,4.747130551e-04,-3.628424304e-01,4.987675418e-01,3.832265594e-07
3.900000000e+00,4.735568409e-04,-3.619587344e-01,4.987705434e-01,3.997040254e-07
3.920000000e+00,4.724034501e-04,-3.610771907e-01,4.987735377e-01,4.139503429e-07
3.940000000e+00,4.712528750e-04,-3.601977939e-01,4.987765247e-01,4.262466646e-07
3.960000000e+00,4.701051077e-04,-3.593205389e-01,4.987795045e-01,4.368387696e-07
3.980000000e+00,4.689601408e-04,-3.584454205e-01,4.987824769e-01,4.459415059e-07
4.000000000e+00,4.678179668e-04,-3.575724333e-01,4.987854422e-01,4.537426879e-07
4.020000000e+00,4.666785784e-04,-3.567015724e-01,4.987884002e-01,4.604064618e-07
4.040000000e+00,4.655419683e-04,-3.558328323e-01,4.987913510e-01,4.660763531e-07
4.060000000e+00,4.644081292e-04,-3.549662081e-01,4.987942946e-01,4.708778079e-07
4.080000000e+00,4.632770542e-04,-3.541016945e-01,4.987972311e-01,4.749204985e-07
4.100000000e+00,4.621487361e-04,-3.532392865e-01,4.988001604e-01,4.783002838e-07
4.120000000e+00,4.610231680e-04,-3.523789788e-01,4.988030826e-01,4.811009657e-07
4.140000000e+00,4.599003428e-04,-3.515207664e-01,4.988059977e-01,4.833957901e-07
4.160000000e+00,4.587802538e-04,-3.506646441e-01,4.988089056e-01,4.852487789e-07
4.180000000e+00,4.576628940e-04,-3.498106069e-01,4.988118065e-01,4.867159209e-07
4.200000000e+00,4.565482567e-04,-3.489586497e-01,4.988147003e-01,4.878461346e-07
4.220000000e+00,4.554363350e-04,-3.481087675e-01,4.988175871e-01,4.886821947e-07
4.240000000e+00,4.543271223e-04,-3.472609551e-01,4.988204668e-01,4.892614891e-07
4.260000000e+00,4.532206118e-04,-3.464152075e-01,4.988233396e-01,4.896167027e-07
