t_s,v_ref,dec_v,dec_alpha,dec_i,dec_vbus,dec500_v,dec500_alpha,dec500_i,dec500_vbus,mimo_v,mimo_alpha,mimo_i,mimo_vbus
3.3000000e-01,-2.0000000e+00,-2.2744903e+00,-2.7363475e-02,-4.4270393e+00,4.6345074e-01,-2.2744903e+00,-2.8170233e-02,-4.4270393e+00,4.6321525e-01,-1.4217116e+00,-8.4100337e-04,-9.2472668e-02,5.4623528e-02
3.3500000e-01,-2.0000000e+00,-2.2840395e+00,-2.5336947e-02,-3.3864075e+00,3.6926659e-01,-2.2840395e+00,-2.5676757e-02,-3.3864075e+00,3.6926767e-01,-1.4210779e+00,-7.7951077e-04,-8.7587334e-02,5.4210953e-02
3.4000000e-01,-2.0000000e+00,-2.2906151e+00,-2.3719616e-02,-1.9665473e+00,2.7625304e-01,-2.2906151e+00,-2.4351956e-02,-1.9665473e+00,2.7606147e-01,-1.4204282e+00,-7.8870520e-04,-1.0145879e-01,5.3776302e-02
3.4500000e-01,-2.0000000e+00,-2.2944375e+00,-2.1470999e-02,-1.1138881e+00,1.9792889e-01,-2.2944375e+00,-2.1708299e-02,-1.1138881e+00,1.9794073e-01,-1.4197762e+00,-8.3198144e-04,-1.0695871e-01,5.3506325e-02
3.5000000e-01,-2.0000000e+00,-2.2958154e+00,-1.9674301e-02,2.7356010e-02,1.2214220e-01,-2.2958154e+00,-2.0156833e-02,2.7356010e-02,1.2199112e-01,-1.4191361e+00,-8.0404311e-04,-1.0939772e-01,5.4253750e-02
3.5500000e-01,-2.0000000e+00,-2.2949737e+00,-1.7469462e-02,6.9938910e-01,5.9475289e-02,-2.2949737e+00,-1.7629044e-02,6.9938910e-01,5.9492189e-02,-1.4185229e+00,-7.6311598e-04,-1.2216520e-01,5.5539508e-02
3.6000000e-01,-2.0000000e+00,-2.2921994e+00,-1.5693176e-02,1.5808552e+00,6.1808738e-05,-2.2921994e+00,-1.6048608e-02,1.5808552e+00,-5.3234183e-05,-1.4179453e+00,-7.6430191e-04,-1.5563827e-01,5.6654265e-02
3.6500000e-01,-2.0000000e+00,-2.2877057e+00,-1.3668357e-02,2.0885196e+00,-4.8117152e-02,-2.2877057e+00,-1.3768216e-02,2.0885196e+00,-4.8098458e-02,-1.4174079e+00,-8.1136102e-04,-1.7215474e-01,5.7573666e-02
3.7000000e-01,-2.0000000e+00,-2.2817471e+00,-1.2017635e-02,2.7381739e+00,-9.2730139e-02,-2.2817471e+00,-1.2266419e-02,2.7381739e+00,-9.2813926e-02,-1.4169150e+00,-7.8276137e-04,-1.8852145e-01,5.9247463e-02
3.7500000e-01,-2.0000000e+00,-2.2745168e+00,-1.0234799e-02,3.1016333e+00,-1.2804382e-01,-2.2745168e+00,-1.0288503e-02,3.1016333e+00,-1.2802518e-01,-1.4164740e+00,-7.5331380e-04,-2.0720062e-01,6.1136936e-02
3.8000000e-01,-2.0000000e+00,-2.2662332e+00,-8.7600412e-03,3.5508760e+00,-1.5973203e-01,-2.2662332e+00,-8.9205022e-03,3.5508760e+00,-1.5978927e-01,-1.4160861e+00,-7.5218636e-04,-2.4517431e-01,6.2760097e-02
3.8500000e-01,-2.0000000e+00,-2.2570660e+00,-7.2389033e-03,3.7913407e+00,-1.8396239e-01,-2.2570660e+00,-7.2570600e-03,3.7913407e+00,-1.8394482e-01,-1.4157507e+00,-7.9737196e-04,-2.6392171e-01,6.4027464e-02
3.9000000e-01,-2.0000000e+00,-2.2471971e+00,-5.9588575e-03,4.0717698e+00,-2.0466698e-01,-2.2471971e+00,-6.0473064e-03,4.0717698e+00,-2.0470214e-01,-1.4154671e+00,-7.7167200e-04,-2.8277388e-01,6.5855636e-02
3.9500000e-01,-2.0000000e+00,-2.2367721e+00,-4.6954565e-03,4.2098870e+00,-2.1958842e-01,-2.2367721e+00,-4.6865780e-03,4.2098870e+00,-2.1957243e-01,-1.4152381e+00,-7.4823148e-04,-3.0102795e-01,6.7743872e-02
4.0000000e-01,-2.0000000e+00,-2.2259387e+00,-3.6106864e-03,4.3515021e+00,-2.3118263e-01,-2.2259387e+00,-3.6415142e-03,4.3515021e+00,-2.3119978e-01,-1.4150615e+00,-7.4756717e-04,-3.3572526e-01,6.9317928e-02
4.0500000e-01,-2.0000000e+00,-2.2148188e+00,-2.5882307e-03,4.4064803e+00,-2.3846963e-01,-2.2148188e+00,-2.5592495e-03,4.4064803e+00,-2.3845546e-01,-1.4149341e+00,-7.8806943e-04,-3.5233289e-01,7.0497171e-02
4.1000000e-01,-2.0000000e+00,-2.2035293e+00,-1.6890586e-03,4.4367366e+00,-2.4268687e-01,-2.2035293e+00,-1.6748306e-03,4.4367366e+00,-2.4268967e-01,-1.4148529e+00,-7.6659392e-04,-3.6818584e-01,7.2101055e-02
4.1500000e-01,-2.0000000e+00,-2.1921700e+00,-8.8431351e-04,4.4259082e+00,-2.4386595e-01,-2.1921700e+00,-8.4090893e-04,4.4259082e+00,-2.4385366e-01,-1.4148184e+00,-7.4617647e-04,-3.8320004e-01,7.3708050e-02
4.2000000e-01,-2.0000000e+00,-2.1808303e+00,-1.5556518e-04,4.3692792e+00,-2.4226447e-01,-2.1808303e+00,-1.0712581e-04,4.3692792e+00,-2.4225613e-01,-1.4148273e+00,-7.4698404e-04,-4.1149959e-01,7.4988796e-02
4.2500000e-01,-2.0000000e+00,-2.1695903e+00,4.5735800e-04,4.3079243e+00,-2.3869258e-01,-2.1695903e+00,5.1053942e-04,4.3079243e+00,-2.3868211e-01,-1.4148755e+00,-7.8182904e-04,-4.2433837e-01,7.5900734e-02
4.3000000e-01,-2.0000000e+00,-2.1585156e+00,1.0334804e-03,4.1857712e+00,-2.3264217e-01,-2.1585156e+00,1.1068892e-03,4.1857712e+00,-2.3262549e-01,-1.4149594e+00,-7.6463919e-04,-4.3532058e-01,7.7144327e-02
4.3500000e-01,-2.0000000e+00,-2.1476686e+00,1.4808693e-03,4.0871005e+00,-2.2550106e-01,-2.1476686e+00,1.5400534e-03,4.0871005e+00,-2.2549230e-01,-1.4150788e+00,-7.4582900e-04,-4.4635510e-01,7.8385513e-02
4.4000000e-01,-2.0000000e+00,-2.1370949e+00,1.9230283e-03,3.9177255e+00,-2.1618311e-01,-2.1370949e+00,2.0136388e-03,3.9177255e+00,-2.1616045e-01,-1.4152303e+00,-7.4816599e-04,-4.6779404e-01,7.9312101e-02
4.4500000e-01,-2.0000000e+00,-2.1268414e+00,2.2302371e-03,3.7929570e+00,-2.0648332e-01,-2.1268414e+00,2.2923954e-03,3.7929570e+00,-2.0647613e-01,-1.4154097e+00,-7.7743905e-04,-4.7675558e-01,7.9923943e-02
4.5000000e-01,-2.0000000e+00,-2.1169371e+00,2.5568780e-03,3.5917667e+00,-1.9489879e-01,-2.1169371e+00,2.6582610e-03,3.5917667e+00,-1.9487215e-01,-1.4156141e+00,-7.6398980e-04,-4.8293829e-01,8.0804635e-02
4.5500000e-01,-2.0000000e+00,-2.1074157e+00,2.7475605e-03,3.4502597e+00,-1.8348943e-01,-2.1074157e+00,2.8103042e-03,3.4502597e+00,-1.8348366e-01,-1.4158429e+00,-7.4626563e-04,-4.9032194e-01,8.1699105e-02
4.6000000e-01,-2.0000000e+00,-2.0982925e+00,2.9762504e-03,3.2299905e+00,-1.7047150e-01,-2.0982925e+00,3.0831769e-03,3.2299905e+00,-1.7044251e-01,-1.4160933e+00,-7.4976647e-04,-5.0573941e-01,8.2304193e-02
