w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
4.509572136e+00,1.513491157e-01,1.086644538e-01,1.014699972e+00,9.947071473e-01
4.641588834e+00,1.560073145e-01,1.117758667e-01,1.015473469e+00,9.943776178e-01
4.777470290e+00,1.608216245e-01,1.149726890e-01,1.016293507e+00,9.940283267e-01
4.917329646e+00,1.657983378e-01,1.182569909e-01,1.017162900e+00,9.936581010e-01
5.061283352e+00,1.709440778e-01,1.216308739e-01,1.018084633e+00,9.932656974e-01
5.209451270e+00,1.762658212e-01,1.250964712e-01,1.019061876e+00,9.928497977e-01
5.361956771e+00,1.817709217e-01,1.286559466e-01,1.020097994e+00,9.924090041e-01
5.518926835e+00,1.874671358e-01,1.323114938e-01,1.021196562e+00,9.919418349e-01
5.680492162e+00,1.933626503e-01,1.360653359e-01,1.022361375e+00,9.914467189e-01
5.846787277e+00,1.994661125e-01,1.399197246e-01,1.023596465e+00,9.909219902e-01
6.017950644e+00,2.057866617e-01,1.438769392e-01,1.024906112e+00,9.903658823e-01
6.194124779e+00,2.123339643e-01,1.479392861e-01,1.026294864e+00,9.897765218e-01
6.375456372e+00,2.191182514e-01,1.521090974e-01,1.027767552e+00,9.891519224e-01
6.562096407e+00,2.261503588e-01,1.563887304e-01,1.029329309e+00,9.884899772e-01
6.754200286e+00,2.334417712e-01,1.607805662e-01,1.030985585e+00,9.877884519e-01
6.951927962e+00,2.410046689e-01,1.652870087e-01,1.032742175e+00,9.870449766e-01
7.155444071e+00,2.488519794e-01,1.699104837e-01,1.034605232e+00,9.862570374e-01
7.364918067e+00,2.569974322e-01,1.746534372e-01,1.036581295e+00,9.854219676e-01
7.580524368e+00,2.654556187e-01,1.795183343e-01,1.038677313e+00,9.845369381e-01
7.802442493e+00,2.742420567e-01,1.845076577e-01,1.040900665e+00,9.835989473e-01
8.030857221e+00,2.833732602e-01,1.896239064e-01,1.043259195e+00,9.826048103e-01
8.265958739e+00,2.928668149e-01,1.948695933e-01,1.045761231e+00,9.815511471e-01
8.507942800e+00,3.027414594e-01,2.002472443e-01,1.048415620e+00,9.804343706e-01
8.757010889e+00,3.130171735e-01,2.057593954e-01,1.051231759e+00,9.792506733e-01
9.013370390e+00,3.237152732e-01,2.114085909e-01,1.054219621e+00,9.779960132e-01
9.277234756e+00,3.348585125e-01,2.171973809e-01,1.057389792e+00,9.766660988e-01
9.548823692e+00,3.464711938e-01,2.231283182e-01,1.060753502e+00,9.752563732e-01
9.828363333e+00,3.585792858e-01,2.292039555e-01,1.064322660e+00,9.737619965e-01
1.011608643e+01,3.712105500e-01,2.354268419e-01,1.068109883e+00,9.721778278e-01
1.041223256e+01,3.843946755e-01,2.417995187e-01,1.072128533e+00,9.704984053e-01
1.071704830e+01,3.981634227e-01,2.483245153e-01,1.076392744e+00,9.687179248e-01
1.103078745e+01,4.125507746e-01,2.550043441e-01,1.080917452e+00,9.668302177e-01
1.135371124e+01,4.275930965e-01,2.618414951e-01,1.085718416e+00,9.648287262e-01
