w_rad_s,ratio12_nominal,cond_nominal,sigmax_nominal,sigmin_nominal,ratio12_light_load_0p5A,cond_light_load_0p5A,sigmax_light_load_0p5A,sigmin_light_load_0p5A,ratio12_fc_cruise_r0p85,cond_fc_cruise_r0p85,sigmax_fc_cruise_r0p85,sigmin_fc_cruise_r0p85
1.37195244e+03,3.43868607e-01,6.72635072e+02,4.93910623e+00,7.34292104e-03,5.50189771e+00,1.88097190e+04,2.61185923e+01,1.38856898e-03,2.28747378e-01,4.85287277e+02,3.67334193e+00,7.56941734e-03
1.40395556e+03,3.38836264e-01,6.87592335e+02,4.86700564e+00,7.07833026e-03,5.42138022e+00,1.87447772e+04,2.54118613e+01,1.35567690e-03,2.25399776e-01,4.96888432e+02,3.62267246e+00,7.29071604e-03
1.43670521e+03,3.33805031e-01,7.02876397e+02,4.79469128e+00,6.82152836e-03,5.34088050e+00,1.86718950e+04,2.47124251e+01,1.32350922e-03,2.22052912e-01,5.08753989e+02,3.57172796e+00,7.02054045e-03
1.47021881e+03,3.28778565e-01,7.18493878e+02,4.72221306e+00,6.57237758e-03,5.26045704e+00,1.85913128e+04,2.40208887e+01,1.29204908e-03,2.18709219e-01,5.20888632e+02,3.52054396e+00,6.75872681e-03
1.50451416e+03,3.23760462e-01,7.34451453e+02,4.64962056e+00,6.33073914e-03,5.18016739e+00,1.85032878e+04,2.33378271e+01,1.26128001e-03,2.15371090e-01,5.33297060e+02,3.46915617e+00,6.50511025e-03
1.53960952e+03,3.18754246e-01,7.50755842e+02,4.57696289e+00,6.09647322e-03,5.10006793e+00,1.84080926e+04,2.26637842e+01,1.23118591e-03,2.12040868e-01,5.45983977e+02,3.41760031e+00,6.25952492e-03
1.57552353e+03,3.13763359e-01,7.67413803e+02,4.50428853e+00,5.86943904e-03,5.02021374e+00,1.83060134e+04,2.19992709e+01,1.20175105e-03,2.08720843e-01,5.58954097e+02,3.36591203e+00,6.02180403e-03
1.61227529e+03,3.08791157e-01,7.84432126e+02,4.43164524e+00,5.64949484e-03,4.94065852e+00,1.81973491e+04,2.13447644e+01,1.17296010e-03,2.05413248e-01,5.72212135e+02,3.31412683e+00,5.79178005e-03
1.64988436e+03,3.03840900e-01,8.01817624e+02,4.35907989e+00,5.43649798e-03,4.86145440e+00,1.80824093e+04,2.07007070e+01,1.14479805e-03,2.02120251e-01,5.85762808e+02,3.26227988e+00,5.56928476e-03
1.68837072e+03,2.98915742e-01,8.19577125e+02,4.28663837e+00,5.23030505e-03,4.78265187e+00,1.79615131e+04,2.00675056e+01,1.11725028e-03,1.98843950e-01,5.99610828e+02,3.21040599e+00,5.35414946e-03
1.72775484e+03,2.94018732e-01,8.37717464e+02,4.21436547e+00,5.03077189e-03,4.70429971e+00,1.78349875e+04,1.94455314e+01,1.09030249e-03,1.95586374e-01,6.13760897e+02,3.15853948e+00,5.14620513e-03
1.76805766e+03,2.89152803e-01,8.56245473e+02,4.14230480e+00,4.83775381e-03,4.62644485e+00,1.77031657e+04,1.88351193e+01,1.06394074e-03,1.92349473e-01,6.28217706e+02,3.10671407e+00,4.94528257e-03
1.80930061e+03,2.84320771e-01,8.75167971e+02,4.07049866e+00,4.65110561e-03,4.54913233e+00,1.75663859e+04,1.82365683e+01,1.03815141e-03,1.89135121e-01,6.42985928e+02,3.05496285e+00,4.75121261e-03
