w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
3.189770215e+00,2.080084316e-01,5.698256651e-02,9.993428392e-01,9.950775218e-01
3.283150013e+00,2.140728468e-01,5.864875328e-02,9.993038207e-01,9.947789922e-01
3.379263482e+00,2.203123404e-01,6.036353976e-02,9.992624869e-01,9.944619963e-01
3.478190651e+00,2.267317857e-01,6.212833265e-02,9.992187006e-01,9.941253506e-01
3.580013891e+00,2.333361713e-01,6.394457839e-02,9.991723163e-01,9.937677907e-01
3.684817983e+00,2.401306016e-01,6.581376421e-02,9.991231803e-01,9.933879664e-01
3.792690191e+00,2.471202960e-01,6.773741913e-02,9.990711294e-01,9.929844345e-01
3.903720333e+00,2.543105891e-01,6.971711508e-02,9.990159910e-01,9.925556522e-01
4.018000857e+00,2.617069291e-01,7.175446794e-02,9.989575823e-01,9.920999699e-01
4.135626918e+00,2.693148762e-01,7.385113870e-02,9.988957096e-01,9.916156227e-01
4.256696455e+00,2.771401005e-01,7.600883453e-02,9.988301679e-01,9.911007221e-01
4.381310275e+00,2.851883788e-01,7.822930993e-02,9.987607400e-01,9.905532464e-01
4.509572136e+00,2.934655903e-01,8.051436789e-02,9.986871959e-01,9.899710308e-01
4.641588834e+00,3.019777121e-01,8.286586102e-02,9.986092922e-01,9.893517562e-01
4.777470290e+00,3.107308129e-01,8.528569277e-02,9.985267710e-01,9.886929373e-01
4.917329646e+00,3.197310455e-01,8.777581856e-02,9.984393593e-01,9.879919105e-01
5.061283352e+00,3.289846380e-01,9.033824699e-02,9.983467679e-01,9.872458193e-01
5.209451270e+00,3.384978834e-01,9.297504103e-02,9.982486908e-01,9.864516001e-01
5.361956771e+00,3.482771265e-01,9.568831923e-02,9.981448040e-01,9.856059659e-01
5.518926835e+00,3.583287501e-01,9.848025686e-02,9.980347642e-01,9.847053894e-01
5.680492162e+00,3.686591576e-01,1.013530872e-01,9.979182082e-01,9.837460840e-01
5.846787277e+00,3.792747528e-01,1.043091025e-01,9.977947516e-01,9.827239849e-01
6.017950644e+00,3.901819176e-01,1.073506556e-01,9.976639873e-01,9.816347267e-01
6.194124779e+00,4.013869855e-01,1.104801605e-01,9.975254842e-01,9.804736217e-01
6.375456372e+00,4.128962110e-01,1.137000939e-01,9.973787863e-01,9.792356350e-01
6.562096407e+00,4.247157351e-01,1.170129964e-01,9.972234109e-01,9.779153590e-01
6.754200286e+00,4.368515463e-01,1.204214729e-01,9.970588470e-01,9.765069856e-01
