label,I_tot0_A,r0,dV0_V,Td_s,taur_s,tauf_s,K_v,pole_factor,tau_v_s,Td_v_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
in-envelope,5.0,0.3,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.484351,1.332673,1.483466,1.321339,1.310091,1.115080,6.79051758e-02,1.52945767e-01
in-envelope,5.0,0.3,0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.865737,1.477382,1.483466,1.321158,1.863121,1.462233,9.08827186e-02,1.94707173e-01
in-envelope,5.0,0.3,0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.491622,1.334007,1.483466,1.321104,1.490743,1.277791,6.24918383e-02,1.67863844e-01
in-envelope,5.0,0.3,-0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.409924,1.712718,1.371375,1.257918,2.406213,1.672748,1.15772642e-01,3.40374013e-01
in-envelope,5.0,0.3,-0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.372572,1.283284,1.371375,1.257527,1.310091,1.115122,7.55262546e-02,2.34686323e-01
in-envelope,5.0,0.3,-0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.866715,1.504339,1.371375,1.257622,1.863121,1.461994,1.07779749e-01,3.10948773e-01
in-envelope,5.0,0.3,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.491972,1.305333,1.371375,1.257746,1.490743,1.277757,7.31515811e-02,2.57691635e-01
in-envelope,5.0,0.3,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,5.0,0.3,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,5.0,0.3,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,5.0,0.3,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
in-envelope,5.0,0.3,0.4,0.0005,2e-05,0.0,2.0,0.5,0.005,0.004,2.408871,1.687176,1.107786,1.141442,2.406213,1.673264,9.10868997e-02,2.07155608e-01
in-envelope,5.0,0.3,0.4,0.0005,2e-05,0.0,0.5,2.0,0.0005,0.001,1.310407,1.154013,1.107786,1.141740,1.310091,1.115082,5.68455129e-02,1.37093597e-01
in-envelope,5.0,0.3,0.4,0.0005,2e-05,0.0,2.0,2.0,0.0005,0.004,1.865400,1.475450,1.107786,1.141593,1.863121,1.462287,8.37792865e-02,1.80842528e-01
in-envelope,5.0,0.3,0.4,0.0005,2e-05,0.0,1.0,1.0,0.005,0.001,1.491594,1.286639,1.107786,1.141556,1.490743,1.277801,5.65382776e-02,1.54766883e-01
in-envelope,5.0,0.3,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,2.409726,1.708935,1.159724,1.158928,2.406213,1.672779,1.10942313e-01,3.24502624e-01
in-envelope,5.0,0.3,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,1.310506,1.186247,1.159724,1.158594,1.310091,1.115118,6.73799414e-02,2.21447766e-01
in-envelope,5.0,0.3,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,1.866435,1.499600,1.159724,1.158700,1.863121,1.462024,1.01285546e-01,2.95038601e-01
in-envelope,5.0,0.3,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,1.491935,1.303262,1.159724,1.158786,1.490743,1.277755,6.82104397e-02,2.44905474e-01
in-envelope,5.0,0.3,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,5.0,0.3,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,5.0,0.3,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,5.0,0.3,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,5.0,0.5,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.410344,1.685630,1.425780,1.289145,2.406213,1.673145,1.25059802e-01,1.92894073e-01
in-envelope,5.0,0.5,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.427221,1.298061,1.425780,1.289581,1.310091,1.115060,8.51155206e-02,1.29651054e-01
