# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
2.91695588e+01,1.29851864e+00,1.59686102e+00
3.01271407e+01,1.37651570e+00,1.65307049e+00
3.11161583e+01,1.45962674e+00,1.70497062e+00
3.21376434e+01,1.54789870e+00,1.75138257e+00
3.31926620e+01,1.64119776e+00,1.79125906e+00
3.42823149e+01,1.73912869e+00,1.82377724e+00
3.54077391e+01,1.84093615e+00,1.84841413e+00
3.65701088e+01,1.94539399e+00,1.86499038e+00
3.77706369e+01,2.05069778e+00,1.87367450e+00
3.90105762e+01,2.15438839e+00,1.87494830e+00
4.02912203e+01,2.25334910e+00,1.86954204e+00
4.16139055e+01,2.34392550e+00,1.85835337e+00
4.29800121e+01,2.42220701e+00,1.84236398e+00
4.43909653e+01,2.48446892e+00,1.82256583e+00
4.58482375e+01,2.52770773e+00,1.79990350e+00
4.73533492e+01,2.55013706e+00,1.77523511e+00
4.89078709e+01,2.55149037e+00,1.74931039e+00
5.05134247e+01,2.53302881e+00,1.72276274e+00
5.21716858e+01,2.49725880e+00,1.69611134e+00
5.38843844e+01,2.44746549e+00,1.66976959e+00
5.56533078e+01,2.38721009e+00,1.64405703e+00
5.74803016e+01,2.31991264e+00,1.61921239e+00
5.93672722e+01,2.24857912e+00,1.59540654e+00
6.13161884e+01,2.17567299e+00,1.57275433e+00
6.33290840e+01,2.10309741e+00,1.55132499e+00
6.54080591e+01,2.03224553e+00,1.53115098e+00
6.75552832e+01,1.96408252e+00,1.51223540e+00
6.97729965e+01,1.89923483e+00,1.49455792e+00
7.20635132e+01,1.83807269e+00,1.47807975e+00
7.44292233e+01,1.78077982e+00,1.46274759e+00
7.68725952e+01,1.72740904e+00,1.44849687e+00
7.93961785e+01,1.67792483e+00,1.43525451e+00
8.20026062e+01,1.63223486e+00,1.42294122e+00
8.46945981e+01,1.59021284e+00,1.41147360e+00
8.74749630e+01,1.55171447e+00,1.40076592e+00
9.03466021e+01,1.51658838e+00,1.39073184e+00
9.33125118e+01,1.48468323e+00,1.38128593e+00
9.63757866e+01,1.45585190e+00,1.37234504e+00
9.95396231e+01,1.42995350e+00,1.36382951e+00
1.02807322e+02,1.40685375e+00,1.35566423e+00
1.06182294e+02,1.38642396e+00,1.34777947e+00
1.09668060e+02,1.36853902e+00,1.34011153e+00
1.13268257e+02,1.35307462e+00,1.33260324e+00
1.16986641e+02,1.33990403e+00,1.32520417e+00
1.20827094e+02,1.32889494e+00,1.31787076e+00
1.24793621e+02,1.31990661e+00,1.31056625e+00
1.28890361e+02,1.31278806e+00,1.30326053e+00
1.33121590e+02,1.30737745e+00,1.29592980e+00
1.37491723e+02,1.30350294e+00,1.28855623e+00
1.42005318e+02,1.30098497e+00,1.28112753e+00
1.46667087e+02,1.29963961e+00,1.27363646e+00
1.51481892e+02,1.29928245e+00,1.26608030e+00
1.56454759e+02,1.29973259e+00,1.25846042e+00
1.61590875e+02,1.30081615e+00,1.25078166e+00
1.66895601e+02,1.30236917e+00,1.24305190e+00
1.72374471e+02,1.30423958e+00,1.23528154e+00
1.78033202e+02,1.30628841e+00,1.22748305e+00
1.83877698e+02,1.30839023e+00,1.21967048e+00
1.89914058e+02,1.31043313e+00,1.21185912e+00
1.96148581e+02,1.31231823e+00,1.20406507e+00
2.02587771e+02,1.31395902e+00,1.19630488e+00
2.09238348e+02,1.31528052e+00,1.18859530e+00
2.16107251e+02,1.31621842e+00,1.18095295e+00
2.23201647e+02,1.31671825e+00,1.17339409e+00
2.30528939e+02,1.31673456e+00,1.16593442e+00
2.38096772e+02,1.31623020e+00,1.15858889e+00
2.45913043e+02,1.31517563e+00,1.15137158e+00
2.53985907e+02,1.31354838e+00,1.14429556e+00
2.62323788e+02,1.31133248e+00,1.13737280e+00
2.70935387e+02,1.30851801e+00,1.13061414e+00
2.79829688e+02,1.30510071e+00,1.12402923e+00
2.89015972e+02,1.30108156e+00,1.11762651e+00
2.98503825e+02,1.29646647e+00,1.11141323e+00
3.08303146e+02,1.29126595e+00,1.10539544e+00
3.18424160e+02,1.28549482e+00,1.09957806e+00
3.28877429e+02,1.27917188e+00,1.09396489e+00
3.39673858e+02,1.27231965e+00,1.08855868e+00
3.50824714e+02,1.26496409e+00,1.08336119e+00
3.62341632e+02,1.25713427e+00,1.07837325e+00
3.74236629e+02,1.24886210e+00,1.07359485e+00
3.86522116e+02,1.24018205e+00,1.06902517e+00
3.99210913e+02,1.23113079e+00,1.06466268e+00
4.12316259e+02,1.22174692e+00,1.06050523e+00
4.25851829e+02,1.21207066e+00,1.05655006e+00
4.39831747e+02,1.20214354e+00,1.05279395e+00
4.54270599e+02,1.19200806e+00,1.04923318e+00
4.69183451e+02,1.18170743e+00,1.04586368e+00
4.84585864e+02,1.17128525e+00,1.04268102e+00
5.00493910e+02,1.16078525e+00,1.03968049e+00
5.16924187e+02,1.15025098e+00,1.03685710e+00
5.33893840e+02,1.13972559e+00,1.03420567e+00
5.51420574e+02,1.12925156e+00,1.03172079e+00
5.69522678e+02,1.11887050e+00,1.02939690e+00
5.88219040e+02,1.10862294e+00,1.02722826e+00
6.07529169e+02,1.09854813e+00,1.02520898e+00
6.27473213e+02,1.08868391e+00,1.02333303e+00
6.48071983e+02,1.07906652e+00,1.02159424e+00
6.69346971e+02,1.06973055e+00,1.01998630e+00
6.91320378e+02,1.06070879e+00,1.01850279e+00
7.14015130e+02,1.05203224e+00,1.01713716e+00
7.37454909e+02,1.04373017e+00,1.01588278e+00
7.61664172e+02,1.03583032e+00,1.01473296e+00
7.86668179e+02,1.02835958e+00,1.01368098e+00
8.12493021e+02,1.02134595e+00,1.01272014e+00
8.39165644e+02,1.01482492e+00,1.01184378e+00
