w,K11_mag,K12_mag,K21_mag,K22_mag,K11_ph,K22_ph
4.381310275e+00,1.823934419e+00,4.879160859e-01,6.131099057e-04,8.417433734e-01,-9.084776706e+01,-7.194951992e+00
4.509572136e+00,1.772041419e+00,4.876683379e-01,6.129058768e-04,8.414361336e-01,-9.087258279e+01,-7.312127336e+00
4.641588834e+00,1.721623886e+00,4.874153570e-01,6.126916074e-04,8.411130911e-01,-9.089812477e+01,-7.435214413e+00
4.777470290e+00,1.672639838e+00,4.871563359e-01,6.124664229e-04,8.407732277e-01,-9.092441422e+01,-7.564300427e+00
4.917329646e+00,1.625048491e+00,4.868904511e-01,6.122296169e-04,8.404154762e-01,-9.095147303e+01,-7.699476198e+00
5.061283352e+00,1.578810217e+00,4.866168605e-01,6.119804496e-04,8.400387175e-01,-9.097932366e+01,-7.840836119e+00
5.209451270e+00,1.533886517e+00,4.863347010e-01,6.117181459e-04,8.396417777e-01,-9.100798929e+01,-7.988478111e+00
5.361956771e+00,1.490239985e+00,4.860430867e-01,6.114418934e-04,8.392234255e-01,-9.103749373e+01,-8.142503570e+00
5.518926835e+00,1.447834280e+00,4.857411060e-01,6.111508407e-04,8.387823690e-01,-9.106786151e+01,-8.303017298e+00
5.680492162e+00,1.406634093e+00,4.854278199e-01,6.108440948e-04,8.383172527e-01,-9.109911787e+01,-8.470127437e+00
5.846787277e+00,1.366605118e+00,4.851022592e-01,6.105207200e-04,8.378266545e-01,-9.113128876e+01,-8.643945381e+00
6.017950644e+00,1.327714026e+00,4.847634226e-01,6.101797352e-04,8.373090824e-01,-9.116440092e+01,-8.824585682e+00
6.194124779e+00,1.289928434e+00,4.844102738e-01,6.098201116e-04,8.367629712e-01,-9.119848185e+01,-9.012165945e+00
6.375456372e+00,1.253216881e+00,4.840417401e-01,6.094407715e-04,8.361866796e-01,-9.123355986e+01,-9.206806708e+00
