w,rga11_re,rga11_im,rga11_mag
7.624397210e+01,1.000000000e+00,1.437272851e-17,1.000000000e+00
7.847599704e+01,1.000000000e+00,-7.751182143e-18,1.000000000e+00
8.077336399e+01,1.000000000e+00,5.944568870e-18,1.000000000e+00
8.313798584e+01,1.000000000e+00,-1.483658048e-17,1.000000000e+00
8.557183145e+01,1.000000000e+00,1.393974490e-17,1.000000000e+00
8.807692734e+01,1.000000000e+00,2.173501308e-17,1.000000000e+00
9.065535934e+01,1.000000000e+00,-3.444553390e-18,1.000000000e+00
9.330927435e+01,1.000000000e+00,4.562306649e-18,1.000000000e+00
9.604088213e+01,1.000000000e+00,1.603601807e-17,1.000000000e+00
9.885245709e+01,1.000000000e+00,-6.906786779e-18,1.000000000e+00
1.017463403e+02,1.000000000e+00,-3.417805801e-17,1.000000000e+00
1.047249412e+02,1.000000000e+00,1.517461567e-18,1.000000000e+00
1.077907400e+02,1.000000000e+00,1.299187081e-17,1.000000000e+00
1.109462894e+02,1.000000000e+00,1.067895308e-17,1.000000000e+00
1.141942168e+02,1.000000000e+00,-9.322217295e-18,1.000000000e+00
1.175372265e+02,1.000000000e+00,2.647665370e-17,1.000000000e+00
1.209781021e+02,1.000000000e+00,-2.928545875e-17,1.000000000e+00
1.245197085e+02,1.000000000e+00,-1.333998946e-17,1.000000000e+00
1.281649946e+02,1.000000000e+00,-9.808508482e-19,1.000000000e+00
1.319169956e+02,1.000000000e+00,-2.365195818e-17,1.000000000e+00
1.357788357e+02,1.000000000e+00,4.109404906e-17,1.000000000e+00
1.397537302e+02,1.000000000e+00,7.672852371e-18,1.000000000e+00
1.438449888e+02,1.000000000e+00,-2.126427330e-17,1.000000000e+00
1.480560181e+02,1.000000000e+00,2.570219467e-18,1.000000000e+00
1.523903244e+02,1.000000000e+00,4.177474368e-18,1.000000000e+00
1.568515164e+02,1.000000000e+00,8.801689674e-18,1.000000000e+00
1.614433089e+02,1.000000000e+00,4.137890068e-17,1.000000000e+00
1.661695250e+02,1.000000000e+00,2.935721968e-17,1.000000000e+00
1.710341000e+02,1.000000000e+00,2.834385751e-17,1.000000000e+00
1.760410844e+02,1.000000000e+00,9.315790496e-18,1.000000000e+00
1.811946471e+02,1.000000000e+00,-4.967866464e-17,1.000000000e+00
1.864990791e+02,1.000000000e+00,3.169769467e-17,1.000000000e+00
1.919587972e+02,1.000000000e+00,-3.688832333e-17,1.000000000e+00
1.975783473e+02,1.000000000e+00,-2.175770800e-18,1.000000000e+00
2.033624085e+02,1.000000000e+00,-2.754026115e-18,1.000000000e+00
2.093157967e+02,1.000000000e+00,-1.515002653e-17,1.000000000e+00
2.154434690e+02,1.000000000e+00,4.551759848e-18,1.000000000e+00
2.217505275e+02,1.000000000e+00,3.307471415e-17,1.000000000e+00
2.282422238e+02,1.000000000e+00,-1.568580589e-17,1.000000000e+00
2.349239629e+02,1.000000000e+00,2.623815381e-17,1.000000000e+00
2.418013085e+02,1.000000000e+00,-2.711951783e-17,1.000000000e+00
2.488799867e+02,1.000000000e+00,9.730529618e-17,1.000000000e+00
2.561658917e+02,1.000000000e+00,-1.051493413e-17,1.000000000e+00
2.636650899e+02,1.000000000e+00,-1.565257545e-17,1.000000000e+00
2.713838254e+02,1.000000000e+00,4.540472786e-17,1.000000000e+00
2.793285251e+02,1.000000000e+00,3.909893056e-17,1.000000000e+00
2.875058041e+02,1.000000000e+00,2.806832002e-17,1.000000000e+00
2.959224711e+02,1.000000000e+00,1.473883699e-17,1.000000000e+00
3.045855341e+02,1.000000000e+00,-1.541210826e-17,1.000000000e+00
3.135022063e+02,1.000000000e+00,4.797132362e-17,1.000000000e+00
3.226799120e+02,1.000000000e+00,1.189036206e-17,1.000000000e+00
3.321262930e+02,1.000000000e+00,1.245566621e-17,1.000000000e+00
3.418492146e+02,1.000000000e+00,-3.852219463e-17,1.000000000e+00
3.518567726e+02,1.000000000e+00,-3.762811652e-17,1.000000000e+00
3.621572995e+02,1.000000000e+00,-3.878913964e-18,1.000000000e+00
3.727593720e+02,1.000000000e+00,5.783139942e-17,1.000000000e+00
3.836718178e+02,1.000000000e+00,-2.864149706e-17,1.000000000e+00
3.949037230e+02,1.000000000e+00,3.170829506e-17,1.000000000e+00
4.064644396e+02,1.000000000e+00,1.638101466e-18,1.000000000e+00
4.183635935e+02,1.000000000e+00,3.053620060e-17,1.000000000e+00
4.306110925e+02,1.000000000e+00,4.042033624e-18,1.000000000e+00
4.432171342e+02,1.000000000e+00,-6.301762190e-17,1.000000000e+00
4.561922150e+02,1.000000000e+00,-8.487537974e-19,1.000000000e+00
4.695471382e+02,1.000000000e+00,-4.189469187e-17,1.000000000e+00
