Internal SKU,Part,PCB Names,Specification,Category,Manufacturer,Mft. SKU,Vendor,Vendor SKU,Link,Datasheet,BOM Qty,BOM Units,Cost / BOM Unit,Assembly Cost,Pricing Status,MOQ (for price),Ready to Order,Ordered,Received,Board Operating Current [mA],Voltage Min [V],Voltage Max [V],Series Min Voltage [V],Series Max Voltage [V],Max Current [mA],Max Power [W],Board Power [W],Max Pulse Current [mA],Max Operating Temp [C],Max Junction Temp [C],Junction - SP Resistance [C/W],Naive Junction Temp Rise [C],Max Other Resistance [C/W],Notes,Total Assembly Cost:,$149.66,,PCB components:,111,PCB unique parts:,57
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Shunt resistor,R-SHUNT,"47 Ohms ±5% 20W Through Hole Resistor Axial Flame Proof, Pulse Withstanding, Safety Cement",Chopper,SQP20AJB-47R,YAGEO,Digikey,13-SQP20AJB-47R-ND,https://www.digikey.com/en/products/detail/yageo/SQP20AJB-47R/9167240,https://yageogroup.com/content/datasheet/asset/file/YAGEO-SQP_NSP_DATASHEET,1.00,ea,$1.31,$1.31,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Shunt MOSFET,Q-SNT,P-Channel 60 V 1.9A (Ta) 1.8W (Ta) Surface Mount PG-SOT223-4,Chopper,BSP170PH6327XTSA1,Infineon Technologies,Digikey,BSP170PH6327XTSA1CT-ND,https://www.digikey.com/en/products/detail/infineon-technologies/BSP170PH6327XTSA1/5410105,https://www.infineon.com/dgdl/Infineon-BSP170P-DS-v02_53-en.pdf?fileId=db3a30433b47825b013b5fdad470576f,1.00,ea,$1.42,$1.42,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Shunt controller,U-SNT,Shunt Voltage Reference IC Adjustable 2.495V 36 VV ±0.5% 100 mA SOT-23-3,Chopper,TL431BIDBZR,Texas Instruments,Digikey,296-18872-1-ND,https://www.digikey.com/en/products/detail/texas-instruments/TL431BIDBZR/863704,https://www.ti.com/lit/ds/symlink/tl431.pdf?ts=1708404301053&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTL431%253FkeyMatch%253D%2526tisearch%253Dsearch-everything%2526usecase%253Dpartmatches,1.00,ea,$0.38,$0.38,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Shunt controller R1,R1-SNT,"78.7 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film",Chopper,YAGEO,RT0402BRD0778K7L,Digikey,YAG4311CT-ND,https://www.digikey.com/en/products/detail/yageo/RT0402BRD0778K7L/1069393,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,1.00,ea,$0.10,$0.10,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Shunt controller R2,R2-SNT,"10 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Chopper,Panasonic Electronic Components,ERA-3AEB103V,Digikey,P10KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB103V/1465878,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,1.00,ea,$0.10,$0.10,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Gate Zener,Z-SNT,Zener Diode 12 V 500 mW ±5% Surface Mount SOD-123,Chopper,Diodes Incorporated,BZT52C12-13-F,Digikey,BZT52C1213-FDICT-ND,https://www.digikey.com/en/products/detail/diodes-incorporated/BZT52C12-13-F/768854,https://www.diodes.com/assets/Datasheets/ds18004.pdf,1.00,ea,$0.21,$0.21,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Gate pullup resistor,R-GS,"3.3 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thin Film",Chopper,Susumu,RG1608P-332-B-T5,Digikey,RG16P3.3KBCT-ND,https://www.digikey.com/en/products/detail/susumu/RG1608P-332-B-T5/1240561,https://www.susumu.co.jp/dl/?filename=n_catalog_partition01_en.pdf&type=application/pdf,1.00,ea,$0.10,$0.10,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Gate stability resistor,R-G,"220 Ohms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film",Chopper,YAGEO,RT0402BRD07220RL,Digikey,YAG4207CT-ND,https://www.digikey.com/en/products/detail/yageo/RT0402BRD07220RL/1069131,https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L,1.00,ea,$0.10,$0.10,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
