log,fw,t0,t1,mode,share_sp,r_cmd,alpha,I_tot,I_fc,I_batt,V_bus,gFC,gBT,n_samples
TP0024,3,7.984201,8.488797,legacy,0.449999988,0.4365059081988772,0.44995470695405665,1.9284752793596287,0.8678989471484919,1.060576332211137,15.787749067053364,0.34131978254292344,0.2643985885220418,431
TP0024,3,8.489956,8.994551,legacy,0.449999988,0.4367124917516305,0.44997883469592415,1.9601300834292346,0.8822212064663573,1.077908876962877,15.782486905800464,0.34115923483526683,0.2644959789164733,431
TP0024,3,8.995715,9.500358,legacy,0.449999988,0.4357320422784262,0.4500607717268636,1.8891732002459398,0.8504916070464038,1.038681593199536,15.792504996287702,0.341933310863109,0.2640393354825986,431
TP0025,3,5.965064,6.469667,legacy,0.5,0.4806097953841703,0.4997124541105156,1.6087486186774942,0.803860129048724,0.8048884896287702,15.811708095127612,0.3099989581322506,0.28685191979814384,431
TP0025,3,6.470828,6.975417,legacy,0.5,0.48239973477518266,0.500000795182148,1.7490543986473317,0.8745365480487239,0.8745178505986079,15.801711106496521,0.30884523456380514,0.28784117370069606,431
TP0025,3,6.97658,7.481185,legacy,0.5,0.48313096715517573,0.4999939092824602,1.8390079032296984,0.9195787418909512,0.9194291613387471,15.794550819721579,0.30837825473085845,0.288248803800464,431
TP0025,3,7.482345,7.986942,legacy,0.5,0.4829041592769802,0.4999429551304231,1.9015883191252902,0.9507661132529002,0.95082220587239,15.79051193526682,0.3085246147169373,0.2881236013364269,431
TP0025,3,7.988105,8.492697,legacy,0.5,0.48277683880334626,0.5000335905780896,1.9471353444918795,0.9737826943155453,0.9733526501763341,15.786958171925756,0.3086086715614849,0.28805490976798137,431
TP0026,3,5.948762,6.453374,legacy,0.550000012,0.5252640218094632,0.5500057100030453,1.3222286591902552,0.7272379159211136,0.5949907432691416,15.833283905104409,0.2836424538074246,0.3138324785058005,431
TP0026,3,6.454534,6.959138,legacy,0.550000012,0.5265985947976942,0.5499120907915992,1.436058828436195,0.7895378705846867,0.6465209578515081,15.824362553828307,0.28292570140835266,0.3147201363294664,431
TP0026,3,7.46607,7.970688,legacy,0.550000012,0.5271251777590009,0.549957521082411,1.5754671301484917,0.8665527303155452,0.7089143998329466,15.814934983526681,0.28264215437819024,0.3150693573526683,431
TP0026,3,7.971851,8.476459,legacy,0.550000012,0.5269872539740406,0.5499161656747956,1.6082437868306265,0.8844835994733179,0.7237601873573085,15.812467388167052,0.2827145499883991,0.31497530815313224,431
TP0026,3,8.477619,8.982232,legacy,0.550000012,0.5271086441471772,0.5500700317082136,1.6441055256751738,0.9044524927587008,0.7396530329164733,15.80994700162413,0.28264825600696053,0.31505451767981435,431
TP0026,3,8.983395,9.488059,legacy,0.550000012,0.5262772890920782,0.5499300995466437,1.5911169085777264,0.8750226820464037,0.7160942265313225,15.813753901856149,0.2830952646635731,0.31450230348723895,431
TP0027,3,6.458917,6.96352,legacy,0.600000024,0.5760860704236598,0.5999599183058817,1.6161715126287703,0.9696131598143852,0.6465583528143852,15.81256225359629,0.2586195701925754,0.35145944043851507,431
TP0027,3,6.964683,7.469293,legacy,0.600000024,0.5749368783986198,0.6000157404029931,1.7130617756867752,1.0279679467401392,0.6850938289466357,15.805939791415314,0.25913553221809743,0.35050681330162414,431
