t_s,r_cmd,alpha,v_bus
1.815000e-03,0.6000,0.600000,14.70672
1.820000e-03,0.6000,0.600000,14.70672
1.825000e-03,0.6000,0.600000,14.70672
1.830000e-03,0.6000,0.600000,14.70672
1.835000e-03,0.6000,0.600000,14.70672
1.840000e-03,0.6000,0.600000,14.70672
1.845000e-03,0.6000,0.600000,14.70672
1.850000e-03,0.6000,0.600000,14.70672
1.855000e-03,0.6000,0.600000,14.70672
1.860000e-03,0.6000,0.600000,14.70672
1.865000e-03,0.6000,0.600000,14.70672
1.870000e-03,0.6000,0.600000,14.70672
1.875000e-03,0.6000,0.600000,14.70672
1.880000e-03,0.6000,0.600000,14.70672
1.885000e-03,0.6000,0.600000,14.70672
1.890000e-03,0.6000,0.600000,14.70672
1.895000e-03,0.6000,0.600000,14.70672
1.900000e-03,0.6000,0.600000,14.70672
1.905000e-03,0.6000,0.600000,14.70672
1.910000e-03,0.6000,0.600000,14.70672
1.915000e-03,0.6000,0.600000,14.70672
1.920000e-03,0.6000,0.600000,14.70672
1.925000e-03,0.6000,0.600000,14.70672
1.930000e-03,0.6000,0.600000,14.70672
1.935000e-03,0.6000,0.600000,14.70672
1.940000e-03,0.6000,0.600000,14.70672
1.945000e-03,0.6000,0.600000,14.70672
1.950000e-03,0.6000,0.600000,14.70672
1.955100e-03,0.6000,0.600000,14.70672
1.960200e-03,0.6000,0.600000,14.70672
1.965300e-03,0.6000,0.600000,14.70672
1.970400e-03,0.6000,0.600000,14.70672
1.975500e-03,0.6000,0.600000,14.70672
1.980600e-03,0.6000,0.600000,14.70672
1.985700e-03,0.6000,0.600000,14.70672
1.990800e-03,0.6000,0.600000,14.70672
1.995900e-03,0.6000,0.600000,14.70672
2.001000e-03,0.6000,0.600000,14.70672
2.006100e-03,0.6000,0.600000,14.70672
2.011200e-03,0.6000,0.600000,14.70672
2.016300e-03,0.6000,0.600000,14.70672
2.021400e-03,0.6000,0.600000,14.70672
2.026500e-03,0.6000,0.600000,14.70672
2.031600e-03,0.6000,0.600000,14.70672
2.036700e-03,0.6000,0.600000,14.70672
2.041800e-03,0.6000,0.600000,14.70672
2.046900e-03,0.6000,0.600000,14.70672
2.052000e-03,0.6000,0.600000,14.70672
2.057100e-03,0.6000,0.600000,14.70672
2.062200e-03,0.6000,0.600000,14.70672
2.067300e-03,0.6000,0.600000,14.70672
2.072400e-03,0.6000,0.600000,14.70672
2.077500e-03,0.6000,0.600000,14.70672
2.082600e-03,0.6000,0.600000,14.70672
2.087700e-03,0.6000,0.600000,14.70672
2.092800e-03,0.6000,0.600000,14.70672
2.097900e-03,0.6000,0.600000,14.70672
2.103000e-03,0.6000,0.600000,14.70672
2.108100e-03,0.6000,0.600000,14.70672
2.113200e-03,0.6000,0.600000,14.70672
2.118300e-03,0.6000,0.600000,14.70672
2.123400e-03,0.6000,0.600000,14.70672
2.128500e-03,0.6000,0.600000,14.70672
2.133600e-03,0.6000,0.600000,14.70672
2.138700e-03,0.6000,0.600000,14.70672
2.143800e-03,0.6000,0.600000,14.70672
2.148900e-03,0.6000,0.600000,14.70672
2.154000e-03,0.6000,0.600000,14.70672
2.159100e-03,0.6000,0.600000,14.70672
2.164200e-03,0.6000,0.600000,14.70672
2.169300e-03,0.6000,0.600000,14.70672
2.174400e-03,0.6000,0.600000,14.70672
2.179500e-03,0.6000,0.600000,14.70672
2.184600e-03,0.6000,0.600000,14.70672
2.189700e-03,0.6000,0.600000,14.70672
2.194800e-03,0.6000,0.600000,14.70672
2.199900e-03,0.6000,0.600000,14.70672
2.205000e-03,0.6000,0.600000,14.70672
2.210100e-03,0.6000,0.600000,14.70672
2.215200e-03,0.6000,0.600000,14.70672
2.220300e-03,0.6000,0.600000,14.70672
2.225400e-03,0.6000,0.600000,14.70672
2.230500e-03,0.6000,0.600000,14.70672
2.235600e-03,0.6000,0.600000,14.70672
2.240700e-03,0.6000,0.600000,14.70672
2.245800e-03,0.6000,0.600000,14.70672
2.250900e-03,0.6000,0.600000,14.70672
2.256000e-03,0.6000,0.600000,14.70672
2.261100e-03,0.6000,0.600000,14.70672
2.266200e-03,0.6000,0.600000,14.70672
2.271300e-03,0.6000,0.600000,14.70672
2.276400e-03,0.6000,0.600000,14.70672
2.281500e-03,0.6000,0.600000,14.70672
2.286600e-03,0.6000,0.600000,14.70672
2.291700e-03,0.6000,0.600000,14.70672
2.296800e-03,0.6000,0.600000,14.70672
2.301900e-03,0.6000,0.600000,14.70672
2.307000e-03,0.6000,0.600000,14.70672
2.312100e-03,0.6000,0.600000,14.70672
2.317200e-03,0.6000,0.600000,14.70672
2.322300e-03,0.6000,0.600000,14.70672
2.327400e-03,0.6000,0.600000,14.70672
2.332500e-03,0.6000,0.600000,14.70672
2.337600e-03,0.6000,0.600000,14.70672
2.342700e-03,0.6000,0.600000,14.70672
2.347800e-03,0.6000,0.600000,14.70672
2.352900e-03,0.6000,0.600000,14.70672
2.358000e-03,0.6000,0.600000,14.70672
2.363100e-03,0.6000,0.600000,14.70672
