w_rad_s,full_mag,full_phase_deg,simp_mag,simp_phase_deg,corner_mag_min,corner_mag_max
2.591396e+02,9.925913e-01,-15.860,9.996644e-01,-16.332,9.969917e-01,9.999866e-01
2.682696e+02,9.925409e-01,-16.419,9.996404e-01,-16.907,9.967771e-01,9.999856e-01
2.777212e+02,9.924868e-01,-16.997,9.996146e-01,-17.503,9.965472e-01,9.999846e-01
2.875058e+02,9.924288e-01,-17.596,9.995870e-01,-18.120,9.963009e-01,9.999835e-01
2.976351e+02,9.923668e-01,-18.215,9.995574e-01,-18.758,9.960373e-01,9.999823e-01
3.081214e+02,9.923003e-01,-18.857,9.995256e-01,-19.419,9.957549e-01,9.999810e-01
3.189770e+02,9.922290e-01,-19.521,9.994917e-01,-20.103,9.954526e-01,9.999797e-01
3.302151e+02,9.921527e-01,-20.209,9.994552e-01,-20.811,9.951289e-01,9.999782e-01
3.418492e+02,9.920710e-01,-20.920,9.994162e-01,-21.544,9.947824e-01,9.999766e-01
3.538932e+02,9.919834e-01,-21.657,9.993744e-01,-22.303,9.944114e-01,9.999750e-01
3.663615e+02,9.918896e-01,-22.420,9.993296e-01,-23.089,9.940142e-01,9.999732e-01
3.792690e+02,9.917891e-01,-23.209,9.992816e-01,-23.902,9.935892e-01,9.999712e-01
3.926313e+02,9.916815e-01,-24.026,9.992301e-01,-24.744,9.931342e-01,9.999692e-01
4.064644e+02,9.915663e-01,-24.872,9.991750e-01,-25.615,9.926473e-01,9.999670e-01
4.207849e+02,9.914429e-01,-25.748,9.991159e-01,-26.518,9.921263e-01,9.999646e-01
4.356099e+02,9.913107e-01,-26.654,9.990526e-01,-27.452,9.915688e-01,9.999621e-01
4.509572e+02,9.911692e-01,-27.593,9.989847e-01,-28.419,9.909724e-01,9.999593e-01
4.668452e+02,9.910176e-01,-28.564,9.989121e-01,-29.419,9.903345e-01,9.999564e-01
4.832930e+02,9.908554e-01,-29.569,9.988342e-01,-30.455,9.896521e-01,9.999533e-01
5.003203e+02,9.906816e-01,-30.610,9.987507e-01,-31.528,9.889224e-01,9.999499e-01
5.179475e+02,9.904956e-01,-31.687,9.986613e-01,-32.638,9.881422e-01,9.999464e-01
5.361957e+02,9.902965e-01,-32.802,9.985656e-01,-33.788,9.873080e-01,9.999425e-01
5.550868e+02,9.900834e-01,-33.956,9.984629e-01,-34.977,9.864164e-01,9.999384e-01
5.746435e+02,9.898553e-01,-35.151,9.983530e-01,-36.209,9.854635e-01,9.999340e-01
5.948892e+02,9.896112e-01,-36.387,9.982352e-01,-37.483,9.844454e-01,9.999292e-01
6.158482e+02,9.893500e-01,-37.667,9.981090e-01,-38.803,9.833578e-01,9.999242e-01
6.375456e+02,9.890705e-01,-38.991,9.979739e-01,-40.168,9.821961e-01,9.999187e-01
6.600075e+02,9.887715e-01,-40.362,9.978290e-01,-41.582,9.809557e-01,9.999129e-01
6.832607e+02,9.884516e-01,-41.780,9.976739e-01,-43.045,9.796316e-01,9.999066e-01
7.073332e+02,9.881094e-01,-43.248,9.975077e-01,-44.560,9.782185e-01,9.999000e-01
7.322538e+02,9.877435e-01,-44.767,9.973298e-01,-46.127,9.767108e-01,9.998928e-01
7.580524e+02,9.873522e-01,-46.339,9.971391e-01,-47.749,9.751027e-01,9.998851e-01
7.847600e+02,9.869339e-01,-47.966,9.969349e-01,-49.428,9.733881e-01,9.998769e-01
8.124085e+02,9.864868e-01,-49.649,9.967162e-01,-51.165,9.715606e-01,9.998680e-01
8.410311e+02,9.860089e-01,-51.391,9.964820e-01,-52.963,9.696134e-01,9.998586e-01
8.706621e+02,9.854982e-01,-53.192,9.962312e-01,-54.823,9.675395e-01,9.998484e-01
9.013370e+02,9.849527e-01,-55.056,9.959625e-01,-56.748,9.653316e-01,9.998376e-01
9.330927e+02,9.843700e-01,-56.984,9.956749e-01,-58.740,9.629821e-01,9.998259e-01
9.659673e+02,9.837478e-01,-58.978,9.953669e-01,-60.800,9.604830e-01,9.998134e-01
1.000000e+03,9.830835e-01,-61.041,9.950372e-01,-62.932,9.578263e-01,9.998001e-01
1.035232e+03,9.823746e-01,-63.173,9.946842e-01,-65.136,9.550034e-01,9.997857e-01
1.071705e+03,9.816182e-01,-65.379,9.943062e-01,-67.416,9.520056e-01,9.997704e-01
1.109463e+03,9.808114e-01,-67.658,9.939017e-01,-69.774,9.488240e-01,9.997539e-01
1.148551e+03,9.799511e-01,-70.015,9.934687e-01,-72.212,9.454494e-01,9.997363e-01
1.189017e+03,9.790340e-01,-72.450,9.930053e-01,-74.733,9.418725e-01,9.997174e-01
1.230908e+03,9.780569e-01,-74.966,9.925093e-01,-77.338,9.380838e-01,9.996971e-01
1.274275e+03,9.770161e-01,-77.565,9.919787e-01,-80.031,9.340738e-01,9.996754e-01
1.319170e+03,9.759081e-01,-80.249,9.914109e-01,-82.812,9.298328e-01,9.996521e-01
1.365647e+03,9.747289e-01,-83.020,9.908035e-01,-85.686,9.253513e-01,9.996272e-01
1.413761e+03,9.734746e-01,-85.880,9.901538e-01,-88.653,9.206196e-01,9.996005e-01
1.463570e+03,9.721411e-01,-88.831,9.894589e-01,-91.715,9.156283e-01,9.995719e-01
1.515134e+03,9.707242e-01,-91.874,9.887158e-01,-94.876,9.103682e-01,9.995412e-01
1.568515e+03,9.692194e-01,-95.011,9.879212e-01,-98.136,9.048304e-01,9.995083e-01
1.623777e+03,9.676224e-01,-98.244,9.870718e-01,-101.498,8.990063e-01,9.994731e-01
1.680985e+03,9.659285e-01,-101.573,9.861640e-01,-104.962,8.928877e-01,9.994353e-01
1.740209e+03,9.641331e-01,-104.998,9.851938e-01,-108.530,8.864671e-01,9.993949e-01
1.801520e+03,9.622314e-01,-108.522,9.841572e-01,-112.203,8.797376e-01,9.993515e-01
1.864991e+03,9.602187e-01,-112.143,9.830500e-01,-115.981,8.726930e-01,9.993051e-01
1.930698e+03,9.580903e-01,-115.862,9.818674e-01,-119.865,8.653280e-01,9.992553e-01
1.998720e+03,9.558414e-01,-119.678,9.806048e-01,-123.855,8.576382e-01,9.992020e-01
2.069138e+03,9.534673e-01,-123.589,9.792571e-01,-127.949,8.496205e-01,9.991448e-01
2.142037e+03,9.509634e-01,-127.595,9.778188e-01,-132.148,8.412726e-01,9.990836e-01
2.217505e+03,9.483252e-01,-131.692,9.762845e-01,-136.448,8.325937e-01,9.990180e-01
2.295632e+03,9.455485e-01,-135.878,9.746481e-01,-140.847,8.235843e-01,9.989477e-01
2.376511e+03,9.426292e-01,-140.149,9.729035e-01,-145.344,8.142463e-01,9.988723e-01
2.460240e+03,9.395636e-01,-144.501,9.710441e-01,-149.934,8.045830e-01,9.987916e-01
