w_rad_s,Gc_hinf_mag,Gc_youlah_mag,Gc_reduced_mag,Gc_discrete_mag
5.854900e-01,1.909613e+02,1.909706e+02,1.909706e+02,1.909706e+02
5.960818e-01,1.875682e+02,1.875773e+02,1.875773e+02,1.875773e+02
6.068653e-01,1.842355e+02,1.842442e+02,1.842442e+02,1.842442e+02
6.178439e-01,1.809619e+02,1.809703e+02,1.809703e+02,1.809703e+02
6.290211e-01,1.777465e+02,1.777546e+02,1.777546e+02,1.777546e+02
6.404004e-01,1.745882e+02,1.745961e+02,1.745961e+02,1.745961e+02
6.519857e-01,1.714860e+02,1.714936e+02,1.714936e+02,1.714936e+02
6.637805e-01,1.684390e+02,1.684463e+02,1.684463e+02,1.684463e+02
6.757887e-01,1.654461e+02,1.654532e+02,1.654532e+02,1.654532e+02
6.880141e-01,1.625063e+02,1.625132e+02,1.625132e+02,1.625132e+02
7.004607e-01,1.596188e+02,1.596255e+02,1.596255e+02,1.596255e+02
7.131324e-01,1.567826e+02,1.567891e+02,1.567891e+02,1.567891e+02
7.260334e-01,1.539968e+02,1.540031e+02,1.540031e+02,1.540031e+02
7.391678e-01,1.512605e+02,1.512666e+02,1.512666e+02,1.512666e+02
7.525398e-01,1.485728e+02,1.485787e+02,1.485787e+02,1.485787e+02
7.661537e-01,1.459329e+02,1.459386e+02,1.459386e+02,1.459386e+02
7.800139e-01,1.433398e+02,1.433454e+02,1.433454e+02,1.433454e+02
7.941248e-01,1.407929e+02,1.407983e+02,1.407983e+02,1.407982e+02
8.084910e-01,1.382912e+02,1.382964e+02,1.382964e+02,1.382964e+02
8.231171e-01,1.358339e+02,1.358390e+02,1.358390e+02,1.358390e+02
8.380078e-01,1.334203e+02,1.334252e+02,1.334252e+02,1.334252e+02
8.531679e-01,1.310496e+02,1.310544e+02,1.310544e+02,1.310544e+02
8.686022e-01,1.287210e+02,1.287257e+02,1.287256e+02,1.287256e+02
8.843157e-01,1.264338e+02,1.264383e+02,1.264383e+02,1.264383e+02
9.003135e-01,1.241872e+02,1.241916e+02,1.241916e+02,1.241916e+02
9.166007e-01,1.219805e+02,1.219848e+02,1.219848e+02,1.219848e+02
