t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
0.1970,0.7,0.700000,0.608954,0.700000,0.509350,0.508903
0.1980,0.7,0.700000,0.609000,0.700000,0.509400,0.508953
0.1990,0.7,0.700000,0.609045,0.700000,0.509450,0.509003
0.2000,0.7,0.700000,0.609091,0.700000,0.509500,0.509053
0.2010,0.7,0.700000,0.609136,0.700000,0.509550,0.509103
0.2020,0.7,0.700000,0.609182,0.700000,0.509600,0.509153
0.2030,0.7,0.700000,0.609227,0.700000,0.509650,0.509203
0.2040,0.7,0.700000,0.609272,0.700000,0.509700,0.509253
0.2050,0.7,0.700000,0.609318,0.700000,0.509750,0.509303
0.2060,0.7,0.700000,0.609363,0.700000,0.509800,0.509353
0.2070,0.7,0.700000,0.609409,0.700000,0.509850,0.509403
0.2080,0.7,0.700000,0.609454,0.700000,0.509900,0.509453
0.2090,0.7,0.700000,0.609499,0.700000,0.509950,0.509503
0.2100,0.7,0.700000,0.609544,0.700000,0.510000,0.509553
0.2110,0.7,0.700000,0.609590,0.700000,0.510050,0.509603
0.2120,0.7,0.700000,0.609635,0.700000,0.510100,0.509653
0.2130,0.7,0.700000,0.609680,0.700000,0.510150,0.509703
0.2140,0.7,0.700000,0.609725,0.700000,0.510200,0.509753
0.2150,0.7,0.700000,0.609770,0.700000,0.510250,0.509803
0.2160,0.7,0.700000,0.609816,0.700000,0.510300,0.509853
0.2170,0.7,0.700000,0.609861,0.700000,0.510350,0.509903
0.2180,0.7,0.700000,0.609906,0.700000,0.510400,0.509953
0.2190,0.7,0.700000,0.609951,0.700000,0.510450,0.510003
0.2200,0.7,0.700000,0.609996,0.700000,0.510500,0.510053
0.2210,0.7,0.700000,0.610041,0.700000,0.510550,0.510103
0.2220,0.7,0.700000,0.610086,0.700000,0.510600,0.510153
0.2230,0.7,0.700000,0.610131,0.700000,0.510650,0.510203
0.2240,0.7,0.700000,0.610176,0.700000,0.510700,0.510253
