t_s,r_cmd,alpha,v_bus
2.301900e-03,0.6000,0.679999,14.74670
2.307000e-03,0.6000,0.679999,14.74670
2.312100e-03,0.6000,0.679999,14.74670
2.317200e-03,0.6000,0.679999,14.74670
2.322300e-03,0.6000,0.679999,14.74670
2.327400e-03,0.6000,0.679999,14.74670
2.332500e-03,0.6000,0.679999,14.74671
2.337600e-03,0.6000,0.679999,14.74671
2.342700e-03,0.6000,0.679999,14.74671
2.347800e-03,0.6000,0.679999,14.74671
2.352900e-03,0.6000,0.679999,14.74671
2.358000e-03,0.6000,0.679999,14.74671
2.363100e-03,0.6000,0.679999,14.74671
2.368200e-03,0.6000,0.679999,14.74671
2.373300e-03,0.6000,0.679999,14.74671
2.378400e-03,0.6000,0.679999,14.74671
2.383500e-03,0.6000,0.679999,14.74671
2.388600e-03,0.6000,0.679999,14.74671
2.393700e-03,0.6000,0.680000,14.74671
2.398800e-03,0.6000,0.680000,14.74671
2.403900e-03,0.6000,0.680000,14.74671
2.409000e-03,0.6000,0.680000,14.74671
2.414100e-03,0.6000,0.680000,14.74671
2.419200e-03,0.6000,0.680000,14.74671
2.424300e-03,0.6000,0.680000,14.74671
2.429400e-03,0.6000,0.680000,14.74671
2.434500e-03,0.6000,0.680000,14.74671
2.439600e-03,0.6000,0.680000,14.74671
2.444700e-03,0.6000,0.680000,14.74671
2.449800e-03,0.6000,0.680000,14.74671
2.454900e-03,0.6000,0.680000,14.74671
2.460000e-03,0.6000,0.680000,14.74671
2.465100e-03,0.6000,0.680000,14.74671
2.470200e-03,0.6000,0.680000,14.74671
2.475300e-03,0.6000,0.680000,14.74671
2.480400e-03,0.6000,0.680000,14.74671
2.485500e-03,0.6000,0.680000,14.74671
2.490600e-03,0.6000,0.680000,14.74671
2.495700e-03,0.6000,0.680000,14.74671
2.500800e-03,0.6000,0.680000,14.74671
2.505900e-03,0.6000,0.680000,14.74671
2.511000e-03,0.6000,0.680000,14.74671
2.516100e-03,0.6000,0.680000,14.74671
2.521200e-03,0.6000,0.680000,14.74671
2.526300e-03,0.6000,0.680000,14.74671
2.531400e-03,0.6000,0.680000,14.74671
2.536500e-03,0.6000,0.680000,14.74671
2.541600e-03,0.6000,0.680000,14.74671
2.546700e-03,0.6000,0.680000,14.74671
2.551800e-03,0.6000,0.680000,14.74671
2.556900e-03,0.6000,0.680000,14.74671
2.562000e-03,0.6000,0.680000,14.74671
2.567100e-03,0.6000,0.680000,14.74671
2.572200e-03,0.6000,0.680000,14.74671
2.577300e-03,0.6000,0.680000,14.74671
2.582400e-03,0.6000,0.680000,14.74671
2.587500e-03,0.6000,0.680000,14.74671
2.592600e-03,0.6000,0.680000,14.74671
2.597700e-03,0.6000,0.680000,14.74671
2.602800e-03,0.6000,0.680000,14.74671
2.607900e-03,0.6000,0.680000,14.74671
2.613000e-03,0.6000,0.680000,14.74671
